period,horizon_days,model,observations,test_start,test_end,mae_cop,rmse_cop,mean_error_cop,directional_accuracy,mase_vs_random_walk,skill_vs_random_walk_pct
window_004,30,regime_ridge,125,2025-01-13,2025-07-04,104.757686170389,127.22830172229013,-1.0112417585814983,0.56,0.9818436102124961,1.815638978750389
window_005,30,regime_ridge,125,2025-07-07,2025-12-26,80.9283976881882,94.77812130777055,38.24997252045539,0.584,0.9632617534804303,3.6738246519569695
window_006,30,regime_ridge,125,2025-12-29,2026-06-19,127.2480874716216,155.67015525396985,35.977647838812814,0.536,1.057002114797069,-5.700211479706896
window_001,30,long_ridge,125,2023-08-07,2024-01-26,124.24446508874139,162.0172396492644,22.592332685363306,0.408,1.072736826712099,-7.273682671209891
window_002,30,long_ridge,125,2024-01-29,2024-07-19,107.86237612290601,150.0929010703837,-67.28204205872939,0.488,1.1286094210432993,-12.860942104329931
window_003,30,long_ridge,125,2024-07-22,2025-01-10,101.2024062565341,123.6935297737476,-70.5385943144146,0.568,1.0350146356644283,-3.5014635664428306
window_004,30,long_ridge,125,2025-01-13,2025-07-04,90.97107287770345,110.94871313858951,-0.8400891357984,0.688,0.8526282880462821,14.73717119537179
window_005,30,long_ridge,125,2025-07-07,2025-12-26,74.14723857390042,86.44550578685971,34.12039732043147,0.728,0.8825480435139222,11.745195648607776
window_006,30,long_ridge,125,2025-12-29,2026-06-19,122.95487314204901,151.44497926203954,44.154343203446516,0.52,1.021339994321998,-2.133999432199807
window_001,30,recent_extra_trees,125,2023-08-07,2024-01-26,127.18307102643763,169.15067669606253,-105.44880841335797,0.624,1.0981089896193965,-9.810898961939651
window_002,30,recent_extra_trees,125,2024-01-29,2024-07-19,89.42812194904629,121.86303539870714,-0.8478245224621823,0.608,0.9357240639951838,6.427593600481618
window_003,30,recent_extra_trees,125,2024-07-22,2025-01-10,111.25062980296492,136.67473015005444,-14.287037310142077,0.448,1.1377795680181226,-13.777956801812262
window_004,30,recent_extra_trees,125,2025-01-13,2025-07-04,139.43885179490053,160.7078914276073,119.18093369734171,0.344,1.3068935622299833,-30.68935622299833
window_005,30,recent_extra_trees,125,2025-07-07,2025-12-26,114.85537804861677,128.39344793022812,105.80697631165879,0.224,1.3670824582742978,-36.70824582742978
window_006,30,recent_extra_trees,125,2025-12-29,2026-06-19,124.48749724837674,151.6768723303515,87.27489624272945,0.472,1.0340709276803377,-3.4070927680337704
window_001,30,ensemble_equal,125,2023-08-07,2024-01-26,113.47636284571949,154.90870829652448,-41.497783834185185,0.624,0.9797641552804965,2.023584471950346
window_002,30,ensemble_equal,125,2024-01-29,2024-07-19,99.46545733125303,138.91277083994515,-67.0656011767025,0.496,1.0407489269893162,-4.07489269893162
window_003,30,ensemble_equal,125,2024-07-22,2025-01-10,108.80311263040355,136.17787793552426,-71.60163466987206,0.408,1.1127483835992493,-11.274838359924932
window_004,30,ensemble_equal,125,2025-01-13,2025-07-04,107.19635289440652,122.68107294527708,46.30219410576794,0.456,1.0047000652178115,-0.4700065217811522
