period,horizon_days,model,observations,test_start,test_end,mae_cop,rmse_cop,mean_error_cop,directional_accuracy,mase_vs_random_walk,skill_vs_random_walk_pct
normal,60,extra_trees,452,2023-07-07,2026-05-15,138.91025236769832,172.91167499284384,24.54971906415086,0.5199115044247787,0.9666882173026502,3.33117826973498
stress,60,extra_trees,39,2024-08-06,2026-04-08,106.05152466993975,123.895677298031,73.05002516926722,0.6410256410256411,0.9404317568088281,5.956824319117193
calm,60,quantile_boosting,259,2023-07-03,2026-01-12,123.35078985526819,161.78956655181187,-19.415287740633005,0.4555984555984556,1.15949369993389,-15.949369993389006
normal,60,quantile_boosting,452,2023-07-07,2026-05-15,146.26459471705215,187.61474336379618,30.548940340970105,0.5420353982300885,1.0178677089093,-1.7867708909300006
stress,60,quantile_boosting,39,2024-08-06,2026-04-08,110.33548206778254,131.2054672338998,82.09490188031421,0.717948717948718,0.9784205513526694,2.1579448647330635
calm,60,regime_ridge,259,2023-07-03,2026-01-12,126.67853700514077,160.1937784325215,-39.81158540074816,0.5984555984555985,1.1907744226578996,-19.077442265789955
normal,60,regime_ridge,452,2023-07-07,2026-05-15,141.74011903221842,178.4306815812577,-36.122582655471916,0.6039823008849557,0.9863814992203012,1.3618500779698839
stress,60,regime_ridge,39,2024-08-06,2026-04-08,191.03292154237266,210.17405529533318,191.03292154237266,0.5128205128205128,1.69402020926663,-69.40202092666301
calm,60,ensemble_equal,259,2023-07-03,2026-01-12,117.79565306602369,149.7135355969989,-33.925645321948025,0.5714285714285714,1.1072755818581355,-10.727558185813546
normal,60,ensemble_equal,452,2023-07-07,2026-05-15,137.38792366427333,170.75364254560452,13.09967569606464,0.5619469026548672,0.9560942028553425,4.390579714465748
stress,60,ensemble_equal,39,2024-08-06,2026-04-08,126.1934275124622,146.57200453509364,111.41905151625059,0.6923076923076923,1.1190438525294588,-11.904385252945882
calm,60,ensemble_weighted,259,2023-07-03,2026-01-12,118.45382012588017,150.06368189477413,-33.815056152782674,0.5675675675675675,1.1134623323467463,-11.34623323467463
normal,60,ensemble_weighted,452,2023-07-07,2026-05-15,137.6054513001896,170.90899680834994,14.983182931795966,0.5575221238938053,0.9576079961066954,4.239200389330455
stress,60,ensemble_weighted,39,2024-08-06,2026-04-08,126.22111123258816,146.4475685625291,111.0851661075445,0.6923076923076923,1.1192893431024051,-11.928934310240514
calm,60,random_walk,259,2023-07-03,2026-01-12,106.38332046332049,132.0525196179601,17.10648648648647,0.0,1.0,0.0
normal,60,random_walk,452,2023-07-07,2026-05-15,143.69705752212388,173.67667609326622,39.172809734513294,0.0,1.0,0.0
stress,60,random_walk,39,2024-08-06,2026-04-08,112.76897435897416,142.41995202884107,85.27923076923078,0.0,1.0,0.0
calm,60,carry,259,2023-07-03,2026-01-12,121.50012811494037,143.19196271866127,56.90808031481119,0.3667953667953668,1.142097535457468,-14.209753545746807
normal,60,carry,452,2023-07-07,2026-05-15,154.1958855188881,185.1481833193403,73.76813774231373,0.37389380530973454,1.0730622336866418,-7.3062233686641775
stress,60,carry,39,2024-08-06,2026-04-08,132.38219498792563,164.65894295271914,119.5463014184258,0.28205128205128205,1.1739239071778491,-17.392390717784913
