horizon_days,feature,driver_group,feature_value,standardized_value,coefficient,contribution_log_return,contribution_cop_approx,direction
45,current_account_chg_1,external_flows,0.0,0.004706115672372824,-0.0,-0.0,-0.0,neutral
45,current_account_pct_1,external_flows,0.0,0.005340864779526795,0.0,0.0,0.0,neutral
45,current_account_pct_5,external_flows,0.0,0.011943218081781403,0.0,0.0,0.0,neutral
45,current_account_z_60,external_flows,,-0.07491470812894546,-0.0,0.0,0.0,neutral
45,sofr_level,rates_and_carry,3.63,1.0755027379248505,-0.0,-0.0,-0.0,neutral
45,sofr_chg_1,rates_and_carry,0.0,-0.0044206018364457205,0.0,-0.0,-0.0,neutral
45,sofr_pct_1,rates_and_carry,0.0,-0.029800134934495768,-0.0,0.0,0.0,neutral
45,sofr_pct_5,rates_and_carry,0.013966480446927276,0.006795676474360134,0.0,0.0,0.0,neutral
45,sofr_z_60,rates_and_carry,0.4513999876079178,0.2860106200807277,0.0,0.0,0.0,neutral
45,vix_level,global_risk,16.5,-0.41819372380125375,-0.0,0.0,0.0,neutral
45,vix_chg_1,global_risk,0.0,0.0010003501093706205,0.0,0.0,0.0,neutral
45,vix_pct_1,global_risk,0.0,-0.03305467644957981,0.0,-0.0,-0.0,neutral
45,vix_pct_5,global_risk,-0.023668639053254337,-0.21888236506612868,0.0,-0.0,-0.0,neutral
45,vix_z_60,global_risk,-0.6266609512382498,-0.43795121534479386,0.0,-0.0,-0.0,neutral
45,broad_usd_level,global_risk,120.5046,1.2274920755532985,-0.0,-0.0,-0.0,neutral
45,broad_usd_chg_1,global_risk,0.0,-0.007935217207324036,0.0,-0.0,-0.0,neutral
45,broad_usd_pct_1,global_risk,0.0,-0.009152947025067953,0.0,-0.0,-0.0,neutral
45,broad_usd_pct_5,global_risk,-0.0051687970101717,-0.7918678353846277,0.0,-0.0,-0.0,neutral
45,broad_usd_z_60,global_risk,0.9189796806794398,0.7457764660671314,0.0,0.0,0.0,neutral
45,brent_level,global_risk,69.56,0.13131965234990894,0.0,0.0,0.0,neutral
45,brent_chg_1,global_risk,0.0,-0.007535996106999093,-0.0,0.0,0.0,neutral
45,brent_pct_1,global_risk,0.0,-0.024875408713557357,-0.0,0.0,0.0,neutral
45,brent_pct_5,global_risk,0.0,-0.056126601124362206,-0.0,0.0,0.0,neutral
45,brent_z_60,global_risk,-1.321540129215911,-1.1460547851210336,-0.0,0.0,0.0,neutral
45,treasury_2y_level,rates_and_carry,4.26,1.0279362152751073,0.0,0.0,0.0,neutral
45,treasury_2y_chg_1,rates_and_carry,0.0,0.003034763364077925,0.0,0.0,0.0,neutral
45,treasury_2y_pct_1,rates_and_carry,0.0,-0.020858028306875265,0.0,-0.0,-0.0,neutral
45,treasury_2y_pct_5,rates_and_carry,0.01187648456057011,0.10103374910928377,0.0,0.0,0.0,neutral
45,treasury_2y_z_60,rates_and_carry,1.6236956978927362,1.1075184776661189,-0.0,-0.0,-0.0,neutral
45,treasury_10y_level,rates_and_carry,4.62,0.9006370506390022,0.0,0.0,0.0,neutral
45,treasury_10y_chg_1,rates_and_carry,0.0,0.0020841680741590886,0.0,0.0,0.0,neutral
45,treasury_10y_pct_1,rates_and_carry,0.0,-0.010163430115259178,-0.0,0.0,0.0,neutral
